"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","111.80","112.06","112.24","111.56","419.02K","-0.32%"
"28.12.2023","112.16","112.62","112.98","111.74","526.46K","-0.57%"
"27.12.2023","112.80","112.36","112.84","111.74","633.44K","0.21%"
"22.12.2023","112.56","112.26","113.32","112.20","506.92K","0.09%"
"21.12.2023","112.46","112.20","112.46","111.34","989.68K","-1.11%"
"20.12.2023","113.72","114.30","115.32","113.46","833.10K","-0.39%"
"19.12.2023","114.16","114.22","115.62","113.84","859.78K","-0.56%"
"18.12.2023","114.80","115.10","115.40","113.76","809.94K","-1.00%"
"15.12.2023","115.96","116.42","118.22","115.50","2.25M","0.19%"
"14.12.2023","115.74","116.50","117.20","114.48","1.52M","1.28%"
"13.12.2023","114.28","115.36","115.94","114.28","1.05M","-0.66%"
"12.12.2023","115.04","116.40","116.68","115.04","919.89K","-0.54%"
"11.12.2023","115.66","115.02","116.06","114.40","842.02K","0.70%"
"08.12.2023","114.86","113.00","115.32","112.70","1.03M","1.16%"
"07.12.2023","113.54","113.74","113.92","112.52","927.49K","-0.73%"
"06.12.2023","114.38","110.42","114.58","109.84","2.46M","5.36%"
"05.12.2023","108.56","107.36","108.56","107.04","693.98K","0.71%"
"04.12.2023","107.80","106.92","108.16","106.68","810.05K","0.73%"
"01.12.2023","107.02","107.20","107.20","105.80","561.24K","0.56%"
"30.11.2023","106.42","107.38","107.42","105.34","882.97K","-0.43%"
"29.11.2023","106.88","104.26","107.30","104.26","1.15M","1.71%"
"28.11.2023","105.08","105.50","105.66","104.36","659.62K","-0.98%"
"27.11.2023","106.12","107.00","107.34","105.28","708.14K","-0.82%"
"24.11.2023","107.00","106.06","107.14","105.40","622.61K","0.39%"
"23.11.2023","106.58","107.00","107.62","106.40","421.49K","-0.21%"
"22.11.2023","106.80","107.08","107.62","106.38","638.38K","-0.06%"
"21.11.2023","106.86","108.74","108.88","106.68","926.74K","-1.82%"
"20.11.2023","108.84","109.60","109.92","108.06","633.97K","0.00%"
"17.11.2023","108.84","108.30","109.86","107.88","842.14K","0.54%"
"16.11.2023","108.26","109.66","110.64","107.96","874.27K","-1.49%"
"15.11.2023","109.90","108.48","110.44","107.90","1.28M","1.91%"
"14.11.2023","107.84","105.58","108.64","105.36","1.44M","2.65%"
"13.11.2023","105.06","104.02","105.14","103.96","629.55K","1.35%"
"10.11.2023","103.66","103.96","104.14","102.88","716.40K","-1.16%"
"09.11.2023","104.88","104.50","105.54","104.00","588.04K","0.46%"
"08.11.2023","104.40","103.70","105.20","103.08","532.81K","0.19%"
"07.11.2023","104.20","104.32","105.22","103.82","569.96K","-0.82%"
"06.11.2023","105.06","105.50","106.10","104.60","600.46K","0.02%"
"03.11.2023","105.04","103.98","106.44","103.90","1.25M","2.00%"
"02.11.2023","102.98","101.00","103.38","100.48","1.25M","3.20%"
"01.11.2023","99.79","100.56","100.90","99.14","804.24K","-0.04%"
"31.10.2023","99.83","99.40","100.22","98.87","860.58K","0.70%"
"30.10.2023","99.14","99.52","100.12","98.82","716.40K","-0.15%"
"27.10.2023","99.29","100.06","101.06","99.25","1.02M","-0.68%"
"26.10.2023","99.97","99.87","100.72","97.83","1.51M","-0.82%"
"25.10.2023","100.80","102.12","102.30","99.82","1.11M","-0.96%"
"24.10.2023","101.78","102.14","102.38","100.84","730.36K","-0.45%"
"23.10.2023","102.24","102.76","103.24","99.75","2.08M","-0.87%"
"20.10.2023","103.14","104.46","104.58","102.86","1.35M","-2.05%"
"19.10.2023","105.30","106.00","106.62","104.82","1.14M","-2.16%"
"18.10.2023","107.62","108.80","109.28","107.60","724.66K","-0.83%"
"17.10.2023","108.52","107.92","108.52","107.08","634.77K","-0.09%"
"16.10.2023","108.62","107.68","108.96","106.92","530.14K","0.87%"
"13.10.2023","107.68","108.70","109.50","105.78","1.08M","-0.87%"
"12.10.2023","108.62","110.00","110.66","108.52","709.83K","-0.60%"
"11.10.2023","109.28","107.86","110.74","107.30","1.11M","1.07%"
"10.10.2023","108.12","106.44","108.90","106.44","1.07M","2.27%"
"09.10.2023","105.72","105.90","106.18","105.18","637.99K","-0.99%"
"06.10.2023","106.78","106.54","107.18","105.58","593.67K","0.26%"
"05.10.2023","106.50","107.12","107.80","106.24","539.35K","-0.99%"
"04.10.2023","107.56","106.22","108.00","104.88","684.22K","0.43%"
"03.10.2023","107.10","108.30","108.52","106.94","687.11K","-1.74%"
"02.10.2023","109.00","109.46","110.28","108.40","597.86K","0.06%"
"29.09.2023","108.94","108.96","110.08","108.32","999.26K","0.17%"
"28.09.2023","108.76","108.40","108.96","107.24","637.21K","-0.11%"
"27.09.2023","108.88","109.62","110.96","107.10","1.11M","-1.20%"
"26.09.2023","110.20","113.04","113.04","110.20","1.12M","-2.70%"
"25.09.2023","113.26","113.90","114.06","112.20","917.30K","-1.07%"
"22.09.2023","114.48","112.10","114.84","111.16","1.72M","2.56%"
"21.09.2023","111.62","111.30","112.16","110.98","733.33K","-0.18%"
"20.09.2023","111.82","109.52","112.54","109.50","1.13M","1.90%"
"19.09.2023","109.74","109.20","111.10","108.88","1.35M","2.14%"
"18.09.2023","107.44","109.50","109.52","107.02","974.08K","-2.15%"
"15.09.2023","109.80","109.34","110.50","108.68","1.56M","1.07%"
"14.09.2023","108.64","108.38","108.88","106.88","1.18M","-0.39%"
"13.09.2023","109.06","108.66","113.16","108.64","1.43M","0.06%"
"12.09.2023","109.00","108.78","109.84","107.98","950.20K","0.87%"
"11.09.2023","108.06","107.74","108.44","107.38","885.85K","0.93%"
"08.09.2023","107.06","106.72","107.20","104.48","1.41M","1.23%"
"07.09.2023","105.76","107.00","108.10","105.64","1.03M","-1.62%"
"06.09.2023","107.50","108.00","108.54","107.30","888.12K","-0.90%"
"05.09.2023","108.48","107.56","108.48","106.44","1.18M","0.17%"
"04.09.2023","108.30","108.60","109.34","107.96","863.49K","-0.02%"
"01.09.2023","108.32","110.48","110.60","107.70","3.27M","-4.18%"
"31.08.2023","113.04","113.70","113.96","112.74","884.34K","-0.34%"
"30.08.2023","113.42","114.16","114.36","113.26","539.06K","-0.26%"
"29.08.2023","113.72","113.30","114.00","112.84","671.75K","0.71%"
"28.08.2023","112.92","112.82","113.20","112.14","706.15K","0.73%"
"25.08.2023","112.10","111.82","112.30","111.22","675.72K","-0.07%"
"24.08.2023","112.18","114.26","114.44","112.06","996.48K","-1.37%"
"23.08.2023","113.74","114.02","114.60","113.06","983.59K","-0.59%"
"22.08.2023","114.42","115.12","115.48","114.42","612.47K","0.02%"
"21.08.2023","114.40","114.08","115.26","114.08","707.22K","-0.05%"
"18.08.2023","114.46","113.98","114.86","113.10","780.83K","-0.21%"
"17.08.2023","114.70","115.00","115.46","113.90","740.70K","-0.35%"
"16.08.2023","115.10","115.50","115.96","115.10","724.58K","-0.55%"
"15.08.2023","115.74","116.90","117.14","115.50","742.68K","-0.99%"
"14.08.2023","116.90","116.78","117.50","115.66","759.36K","-0.09%"
"11.08.2023","117.00","117.48","118.78","117.00","860.51K","-0.58%"
"10.08.2023","117.68","117.84","118.68","117.28","801.21K","0.68%"
"09.08.2023","116.88","118.28","118.98","116.88","995.14K","0.40%"
"08.08.2023","116.42","117.92","117.92","115.22","1.33M","-1.61%"
"07.08.2023","118.32","118.32","118.74","117.74","628.67K","-0.22%"
"04.08.2023","118.58","119.44","119.76","117.94","712.63K","-0.22%"
"03.08.2023","118.84","118.50","118.98","117.40","1.06M","-0.18%"
"02.08.2023","119.06","118.80","119.92","118.40","996.74K","-0.78%"
"01.08.2023","120.00","120.66","120.94","118.90","1.20M","-0.46%"
"31.07.2023","120.56","121.26","121.84","120.56","825.24K","-0.59%"
"28.07.2023","121.28","120.00","121.44","118.76","1.27M","0.26%"
"27.07.2023","120.96","121.50","121.58","118.10","3.73M","-2.06%"
"26.07.2023","123.50","125.60","126.14","121.70","1.29M","-1.42%"
"25.07.2023","125.28","126.08","126.24","125.28","432.14K","-0.25%"
"24.07.2023","125.60","124.62","125.70","124.16","568.85K","0.54%"
"21.07.2023","124.92","123.90","125.10","123.36","712.22K","0.69%"
"20.07.2023","124.06","123.50","124.86","123.28","674.98K","0.24%"
"19.07.2023","123.76","123.02","123.90","122.20","596.34K","0.85%"
"18.07.2023","122.72","122.14","123.24","121.82","621.09K","0.54%"
"17.07.2023","122.06","122.44","122.82","121.52","656.90K","-0.89%"
"14.07.2023","123.16","123.64","123.90","122.00","721.23K","-0.60%"
"13.07.2023","123.90","123.40","124.88","122.54","837.24K","0.28%"
"12.07.2023","123.56","123.30","123.56","122.34","693.22K","0.67%"
"11.07.2023","122.74","122.52","123.06","120.26","751.30K","0.57%"
"10.07.2023","122.04","122.16","122.50","120.38","478.41K","-0.26%"
"07.07.2023","122.36","121.00","122.40","120.06","621.62K","0.82%"
"06.07.2023","121.36","123.08","123.10","120.46","1.02M","-1.83%"
"05.07.2023","123.62","122.90","123.66","122.08","659.39K","0.08%"
"04.07.2023","123.52","124.00","124.16","122.64","358.92K","-0.21%"
"03.07.2023","123.78","123.94","124.82","123.48","655.58K","0.68%"
"30.06.2023","122.94","123.28","123.60","122.74","811.33K","0.42%"
"29.06.2023","122.42","122.72","123.94","122.22","788.48K","0.58%"
"28.06.2023","121.72","120.98","122.42","120.80","828.96K","0.85%"
"27.06.2023","120.70","123.00","123.28","119.04","1.62M","-1.66%"
"26.06.2023","122.74","122.52","123.34","121.08","700.04K","0.31%"
"23.06.2023","122.36","123.04","123.20","121.48","767.83K","-0.52%"
"22.06.2023","123.00","123.84","123.86","121.90","1.10M","-1.62%"
"21.06.2023","125.02","126.58","127.92","124.62","1.19M","-0.86%"
"20.06.2023","126.10","127.50","127.50","125.14","1.08M","-1.47%"
"19.06.2023","127.98","128.30","129.22","127.34","633.34K","-0.81%"
"16.06.2023","129.02","130.46","130.48","128.60","2.11M","-0.81%"
"15.06.2023","130.08","131.10","131.38","128.90","1.11M","-1.26%"
"14.06.2023","131.74","131.34","133.42","131.16","1.20M","0.69%"
"13.06.2023","130.84","130.00","131.36","129.66","1.20M","1.03%"
"12.06.2023","129.50","127.92","129.92","127.74","1.69M","2.55%"
"09.06.2023","126.28","126.02","126.74","125.56","567.83K","0.41%"
"08.06.2023","125.76","124.70","127.22","124.20","1.62M","1.14%"
"07.06.2023","124.34","123.90","124.66","122.32","724.18K","0.24%"
"06.06.2023","124.04","122.38","124.20","122.04","1.08M","1.22%"
"05.06.2023","122.54","121.72","122.54","121.34","808.94K","0.82%"
"02.06.2023","121.54","119.08","121.86","118.94","1.44M","2.93%"
"01.06.2023","118.08","117.00","118.80","116.70","895.80K","1.29%"
"31.05.2023","116.58","118.20","118.58","116.02","3.21M","-1.87%"
"30.05.2023","118.80","120.02","121.04","118.72","930.90K","-1.20%"
"29.05.2023","120.24","120.40","121.06","119.72","343.42K","0.40%"
"26.05.2023","119.76","118.82","120.10","118.04","711.02K","1.37%"
"25.05.2023","118.14","119.72","119.80","117.52","635.35K","-0.99%"
"24.05.2023","119.32","120.52","120.52","118.82","926.90K","-1.52%"
"23.05.2023","121.16","120.40","121.16","119.72","722.44K","0.53%"
"22.05.2023","120.52","120.20","121.00","119.64","506.58K","0.27%"
"19.05.2023","120.20","120.80","121.98","120.04","1.16M","-0.08%"
"18.05.2023","120.30","118.24","120.68","118.16","1.35M","3.24%"
"17.05.2023","116.52","116.18","116.86","115.08","949.82K","-0.07%"
"16.05.2023","116.60","118.12","118.18","116.02","1.47M","-1.80%"
"15.05.2023","118.74","119.66","119.98","118.60","766.70K","-0.42%"
"12.05.2023","119.24","119.98","120.34","119.10","1.12M","-0.33%"
"11.05.2023","119.64","120.00","120.60","118.82","2.02M","-5.56%"
"10.05.2023","126.68","127.26","128.32","126.66","1.58M","0.22%"
"09.05.2023","126.40","127.56","127.90","125.48","1.17M","-0.57%"
"08.05.2023","127.12","127.64","128.38","126.46","1.06M","-0.03%"
"05.05.2023","127.16","125.52","127.78","124.84","1.37M","1.76%"
"04.05.2023","124.96","125.12","125.60","122.50","1.52M","0.60%"
"03.05.2023","124.22","123.44","124.68","121.76","1.15M","0.80%"
"02.05.2023","123.24","124.20","125.26","122.74","1.13M","-0.36%"
"28.04.2023","123.68","123.00","123.88","120.12","1.13M","1.38%"
"27.04.2023","122.00","121.50","123.32","120.50","672.93K","0.64%"
"26.04.2023","121.22","120.32","121.82","119.84","938.22K","0.40%"
"25.04.2023","120.74","121.96","122.06","120.34","922.94K","-1.03%"
"24.04.2023","122.00","122.20","122.94","121.50","726.51K","0.08%"
"21.04.2023","121.90","122.24","122.84","120.26","1.22M","0.26%"
"20.04.2023","121.58","124.28","124.32","120.96","2.00M","-3.09%"
"19.04.2023","125.46","126.26","126.26","123.68","788.42K","-0.88%"
"18.04.2023","126.58","127.54","127.54","126.46","552.56K","-0.25%"
"17.04.2023","126.90","128.66","129.00","126.20","910.99K","-0.63%"
"14.04.2023","127.70","126.84","128.30","126.16","1.20M","1.28%"
"13.04.2023","126.08","125.50","126.66","124.28","845.27K","0.45%"
"12.04.2023","125.52","125.50","127.30","125.10","739.95K","0.02%"
"11.04.2023","125.50","125.22","126.76","124.96","888.15K","1.65%"
"06.04.2023","123.46","124.14","124.44","122.78","666.09K","-0.50%"
"05.04.2023","124.08","125.68","126.06","123.38","1.04M","-1.05%"
"04.04.2023","125.40","126.50","127.70","125.40","761.32K","-0.37%"
"03.04.2023","125.86","126.20","126.58","125.44","650.37K","0.18%"
"31.03.2023","125.64","125.60","125.78","124.54","941.74K","0.77%"
"30.03.2023","124.68","123.50","125.30","123.28","838.24K","1.70%"
"29.03.2023","122.60","122.50","122.68","121.20","709.07K","0.59%"
"28.03.2023","121.88","122.60","122.88","120.88","653.73K","0.84%"
"27.03.2023","120.86","120.48","121.94","119.70","939.13K","1.56%"
"24.03.2023","119.00","120.12","120.50","116.12","2.19M","-2.76%"
"23.03.2023","122.38","123.50","124.12","120.94","1.16M","-1.15%"
"22.03.2023","123.80","123.36","124.54","123.00","675.63K","0.50%"
"21.03.2023","123.18","121.24","124.08","121.18","1.08M","2.45%"
"20.03.2023","120.24","120.20","120.46","116.48","1.41M","-0.17%"
"17.03.2023","120.44","122.00","122.72","119.02","3.56M","-1.70%"
"16.03.2023","122.52","125.56","125.74","120.12","2.06M","-0.54%"
"15.03.2023","123.18","129.40","129.88","122.54","2.57M","-4.07%"
"14.03.2023","128.40","128.70","128.80","125.50","2.24M","-1.58%"
"13.03.2023","130.46","134.70","134.88","128.76","1.87M","-3.43%"
"10.03.2023","135.10","133.92","135.10","132.22","1.17M","-1.53%"
"09.03.2023","137.20","140.24","140.54","136.64","1.14M","-2.04%"
"08.03.2023","140.06","138.76","141.06","138.70","890.33K","0.91%"
"07.03.2023","138.80","139.32","141.04","138.38","738.58K","-0.63%"
"06.03.2023","139.68","142.20","143.08","139.02","1.81M","-1.77%"
"03.03.2023","142.20","127.82","143.20","127.68","4.37M","10.56%"
"02.03.2023","128.62","128.00","128.66","126.34","921.37K","0.09%"
"01.03.2023","128.50","130.10","131.16","128.00","921.14K","-0.51%"
"28.02.2023","129.16","129.00","129.70","127.38","933.18K","-0.14%"
"27.02.2023","129.34","128.32","130.06","128.32","581.89K","1.21%"
"24.02.2023","127.80","132.56","132.76","127.80","1.74M","-3.11%"
"23.02.2023","131.90","131.76","133.14","131.38","798.90K","0.53%"
"22.02.2023","131.20","130.80","131.78","129.04","816.02K","0.09%"
"21.02.2023","131.08","132.50","132.54","130.34","845.52K","-1.22%"
"20.02.2023","132.70","132.46","133.02","131.96","611.88K","1.13%"
"17.02.2023","131.22","130.30","131.56","129.58","1.05M","0.18%"
"16.02.2023","130.98","131.98","132.20","129.84","923.76K","0.00%"
"15.02.2023","130.98","130.60","131.66","130.08","563.53K","0.60%"
"14.02.2023","130.20","129.16","131.06","128.52","840.80K","1.42%"
"13.02.2023","128.38","128.76","129.24","128.18","490.94K","-0.17%"
"10.02.2023","128.60","130.00","130.48","127.80","969.11K","-1.27%"
"09.02.2023","130.26","129.60","131.72","129.46","935.85K","0.74%"
"08.02.2023","129.30","130.50","131.20","127.70","1.26M","-1.49%"
"07.02.2023","131.26","131.32","132.18","130.26","786.43K","0.71%"
"06.02.2023","130.34","131.20","132.24","129.34","708.63K","-1.21%"
"03.02.2023","131.94","132.00","133.78","131.18","1.17M","-1.02%"
"02.02.2023","133.30","129.00","133.88","128.50","1.73M","3.80%"
"01.02.2023","128.42","127.20","128.84","126.70","902.01K","1.17%"
"31.01.2023","126.94","126.00","126.98","124.88","860.56K","0.54%"
"30.01.2023","126.26","126.20","128.20","125.12","1.09M","0.14%"
"27.01.2023","126.08","125.66","127.00","125.38","1.05M","0.86%"
"26.01.2023","125.00","125.06","125.26","124.36","758.26K","0.73%"
"25.01.2023","124.10","123.76","124.82","122.84","814.33K","0.24%"
"24.01.2023","123.80","125.44","125.68","122.92","1.23M","-1.09%"
"23.01.2023","125.16","125.40","125.76","124.12","756.74K","0.72%"
"20.01.2023","124.26","124.42","124.42","122.70","1.28M","0.91%"
"19.01.2023","123.14","124.06","124.94","122.34","1.13M","-1.65%"
"18.01.2023","125.20","125.50","126.00","124.44","784.87K","-0.03%"
"17.01.2023","125.24","126.00","126.54","123.16","1.45M","-0.38%"
"16.01.2023","125.72","125.72","126.24","124.74","857.56K","0.50%"
"13.01.2023","125.10","127.82","127.82","123.76","2.38M","-2.81%"
"12.01.2023","128.72","128.32","129.22","127.58","1.17M","0.74%"
"11.01.2023","127.78","127.80","128.56","127.08","1.01M","0.39%"
"10.01.2023","127.28","127.50","128.20","126.34","1.01M","-0.58%"
"09.01.2023","128.02","129.62","129.70","126.74","1.02M","-0.11%"
"06.01.2023","128.16","127.42","128.30","124.14","951.95K","0.82%"
"05.01.2023","127.12","126.00","128.26","125.78","1.12M","0.99%"
"04.01.2023","125.88","122.56","126.34","122.00","1.30M","3.13%"
"03.01.2023","122.06","120.04","123.28","120.04","898.91K","1.68%"
"02.01.2023","120.04","117.20","120.86","117.20","959.15K","3.11%"
"30.12.2022","116.42","116.04","116.54","115.46","365.93K","0.24%"
"29.12.2022","116.14","114.96","116.90","114.30","645.87K","1.03%"
"28.12.2022","114.96","115.88","116.10","114.54","751.90K","-0.78%"
"27.12.2022","115.86","117.06","117.20","115.62","523.55K","0.17%"
"23.12.2022","115.66","115.04","116.84","113.90","963.07K","0.68%"
"22.12.2022","114.88","120.18","120.34","112.84","2.22M","-4.09%"
"21.12.2022","119.78","119.82","120.92","119.06","1.08M","0.47%"
"20.12.2022","119.22","121.50","122.50","119.14","1.64M","-2.26%"
"19.12.2022","121.98","121.10","125.58","121.00","2.52M","-10.66%"
"16.12.2022","136.54","133.76","136.54","133.38","4.12M","2.23%"
"15.12.2022","133.56","136.44","138.40","133.02","1.95M","-3.05%"
"14.12.2022","137.76","137.16","138.32","135.92","1.12M","-0.01%"
"13.12.2022","137.78","136.24","139.98","135.64","1.41M","1.22%"
"12.12.2022","136.12","137.20","137.38","135.20","1.11M","-0.82%"
"09.12.2022","137.24","137.00","138.46","135.22","1.23M","0.47%"
"08.12.2022","136.60","136.10","137.56","135.24","1.15M","-0.73%"
"07.12.2022","137.60","139.18","140.94","137.60","1.05M","-1.57%"
"06.12.2022","139.80","140.88","141.94","138.70","905.36K","-0.74%"
"05.12.2022","140.84","140.00","141.62","139.54","1.07M","1.31%"
"02.12.2022","139.02","138.38","140.16","137.34","945.91K","-0.26%"
"01.12.2022","139.38","141.22","141.86","138.48","822.37K","-0.37%"
"30.11.2022","139.90","138.60","140.60","138.52","1.52M","1.49%"
"29.11.2022","137.84","135.86","138.18","134.80","827.51K","1.92%"
"28.11.2022","135.24","135.80","136.28","134.82","864.49K","-0.97%"
"25.11.2022","136.56","137.28","137.28","135.78","844.32K","-0.32%"
"24.11.2022","137.00","137.78","138.20","137.00","840.95K","-0.10%"
"23.11.2022","137.14","140.20","140.44","136.16","1.03M","-1.87%"
"22.11.2022","139.76","139.00","140.36","138.16","747.16K","0.09%"
"21.11.2022","139.64","141.02","141.10","139.20","","-1.56%"
"18.11.2022","141.86","140.06","142.62","139.34","1.16M","2.35%"
"17.11.2022","138.60","138.12","139.62","136.86","886.74K","0.87%"
"16.11.2022","137.40","142.96","143.22","136.04","1.56M","-4.18%"
"15.11.2022","143.40","144.00","144.98","142.24","1.01M","-0.03%"
"14.11.2022","143.44","143.90","144.86","142.22","984.65K","0.53%"
"11.11.2022","142.68","140.92","144.40","140.48","1.53M","2.65%"
"10.11.2022","139.00","134.46","139.40","134.04","1.40M","2.77%"
"09.11.2022","135.26","135.60","136.58","133.98","762.04K","-0.79%"
"08.11.2022","136.34","137.36","138.38","135.38","957.61K","-0.01%"
"07.11.2022","136.36","133.02","137.58","132.80","1.08M","2.46%"
"04.11.2022","133.08","128.52","134.44","128.52","1.69M","4.03%"
"03.11.2022","127.92","129.62","129.76","126.86","1.13M","-2.37%"
"02.11.2022","131.02","132.50","133.68","130.46","742.90K","-0.89%"
"01.11.2022","132.20","130.88","132.98","130.10","933.24K","2.21%"
"31.10.2022","129.34","129.04","129.78","127.44","805.52K","0.86%"
"28.10.2022","128.24","127.50","129.22","125.40","1.60M","-1.88%"
"27.10.2022","130.70","130.56","132.20","129.36","870.18K","-0.26%"
"26.10.2022","131.04","131.00","131.36","129.56","844.88K","-0.11%"
"25.10.2022","131.18","131.44","131.98","127.74","853.83K","0.74%"
"24.10.2022","130.22","131.00","132.00","129.34","982.26K","0.45%"
"21.10.2022","129.64","129.34","129.68","127.24","1.26M","-0.18%"
"20.10.2022","129.88","129.22","131.82","128.26","830.15K","0.02%"
"19.10.2022","129.86","131.50","131.92","129.52","765.71K","-0.41%"
"18.10.2022","130.40","130.48","133.10","129.66","1.05M","2.05%"
"17.10.2022","127.78","126.50","129.68","125.64","1.48M","2.82%"
"14.10.2022","124.28","126.90","126.90","123.62","915.77K","0.10%"
"13.10.2022","124.16","122.60","126.32","121.02","1.38M","0.88%"
"12.10.2022","123.08","123.62","124.72","120.64","1.01M","-0.18%"
"11.10.2022","123.30","123.44","124.08","121.34","1.05M","-0.93%"
"10.10.2022","124.46","127.84","130.76","123.86","1.38M","-4.47%"
"07.10.2022","130.28","131.82","133.46","130.12","766.28K","-1.59%"
"06.10.2022","132.38","130.48","133.18","130.06","1.15M","2.13%"
"05.10.2022","129.62","130.62","131.34","126.56","1.40M","-1.31%"
"04.10.2022","131.34","129.20","132.06","128.10","1.52M","3.88%"
"03.10.2022","126.44","125.90","127.16","122.82","1.19M","0.03%"
"30.09.2022","126.40","129.62","130.80","125.76","1.50M","-1.60%"
"29.09.2022","128.46","138.80","139.08","126.70","3.03M","-6.85%"
"28.09.2022","137.90","135.00","138.26","132.22","1.34M","0.85%"
"27.09.2022","136.74","139.90","140.84","136.02","1.25M","-1.07%"
"26.09.2022","138.22","139.32","140.68","137.06","1.11M","-1.38%"
"23.09.2022","140.16","147.80","147.80","140.10","1.27M","-4.89%"
"22.09.2022","147.36","145.44","149.72","145.16","916.81K","-0.39%"
"21.09.2022","147.94","145.40","148.26","143.56","1.22M","0.71%"
"20.09.2022","146.90","148.38","150.66","146.48","1.21M","-0.07%"
"19.09.2022","147.00","147.38","148.42","143.62","1.06M","1.06%"
"16.09.2022","145.46","147.50","147.88","144.70","3.48M","-2.57%"
"15.09.2022","149.30","150.98","151.50","147.58","806.82K","-0.69%"
"14.09.2022","150.34","149.00","151.52","148.66","1.04M","1.09%"
"13.09.2022","148.72","151.34","153.74","148.72","1.01M","-2.16%"
"12.09.2022","152.00","149.28","152.24","149.14","1.15M","3.42%"
"09.09.2022","146.98","146.50","148.54","145.86","853.18K","0.59%"
"08.09.2022","146.12","149.50","150.02","143.70","1.13M","-1.75%"
"07.09.2022","148.72","147.00","150.32","146.94","817.31K","-0.07%"
"06.09.2022","148.82","144.94","149.60","144.62","1.15M","3.71%"
"05.09.2022","143.50","145.00","146.42","142.48","1.11M","-3.67%"
"02.09.2022","148.96","142.32","148.96","141.38","1.39M","6.69%"
"01.09.2022","139.62","137.48","141.62","137.46","812.48K","-1.77%"
"31.08.2022","142.14","148.64","149.32","142.14","1.25M","-2.58%"
"30.08.2022","145.90","143.30","148.74","142.94","1.06M","2.31%"
"29.08.2022","142.60","139.80","144.20","138.56","704.84K","1.18%"
"26.08.2022","140.94","142.68","148.14","140.34","1.33M","-0.66%"
"25.08.2022","141.88","142.80","144.02","140.20","488.05K","0.35%"
"24.08.2022","141.38","141.42","142.12","139.14","594.07K","-0.44%"
"23.08.2022","142.00","138.02","142.72","137.84","856.18K","1.87%"
"22.08.2022","139.40","145.00","145.02","137.68","1.19M","-4.36%"
"19.08.2022","145.76","147.54","148.94","145.46","750.02K","-2.12%"
"18.08.2022","148.92","147.30","149.50","146.82","464.48K","1.31%"
"17.08.2022","147.00","150.92","151.42","146.80","726.84K","-2.39%"
"16.08.2022","150.60","150.40","151.50","149.24","559.82K","0.39%"
"15.08.2022","150.02","148.60","150.02","147.08","693.04K","1.15%"
"12.08.2022","148.32","147.50","148.54","146.68","785.77K","0.94%"
"11.08.2022","146.94","147.14","147.56","145.02","613.45K","0.70%"
"10.08.2022","145.92","142.00","146.54","140.84","694.66K","2.14%"
"09.08.2022","142.86","145.30","145.84","142.68","614.33K","-1.95%"
"08.08.2022","145.70","145.00","146.00","143.44","678.74K","1.58%"
"05.08.2022","143.44","143.80","145.54","143.30","628.75K","-0.11%"
"04.08.2022","143.60","144.48","148.90","143.60","1.16M","-0.61%"
"03.08.2022","144.48","140.12","144.48","139.72","1.00M","2.09%"
"02.08.2022","141.52","137.80","142.62","137.16","1.23M","2.09%"
"01.08.2022","138.62","138.44","139.50","137.10","1.04M","0.96%"
"29.07.2022","137.30","137.40","139.00","134.72","1.08M","1.25%"
"28.07.2022","135.60","133.00","136.36","132.50","985.51K","3.67%"
"27.07.2022","130.80","131.06","132.50","129.76","931.45K","0.29%"
"26.07.2022","130.42","131.90","132.02","129.16","870.64K","-1.67%"
"25.07.2022","132.64","132.50","133.38","128.10","1.68M","-1.25%"
"22.07.2022","134.32","135.50","135.80","133.92","737.58K","-1.15%"
"21.07.2022","135.88","139.92","141.12","134.70","1.12M","-2.68%"
"20.07.2022","139.62","142.28","142.94","135.54","1.21M","-1.13%"
"19.07.2022","141.22","134.70","143.12","134.46","1.16M","3.87%"
"18.07.2022","135.96","133.74","138.98","133.70","946.70K","2.81%"
"15.07.2022","132.24","127.42","133.14","126.10","1.43M","4.70%"
"14.07.2022","126.30","127.82","130.46","125.02","904.42K","-1.59%"
"13.07.2022","128.34","129.58","130.10","126.68","821.09K","-1.75%"
"12.07.2022","130.62","128.22","130.90","127.10","913.88K","0.26%"
"11.07.2022","130.28","130.18","132.80","129.26","901.89K","-3.11%"
"08.07.2022","134.46","126.88","134.80","126.10","1.83M","5.91%"
"07.07.2022","126.96","122.48","127.66","122.34","1.46M","5.24%"
"06.07.2022","120.64","122.74","124.16","120.64","1.02M","-0.13%"
"05.07.2022","120.80","127.98","128.46","120.56","1.55M","-4.88%"
"04.07.2022","127.00","129.02","129.32","125.96","629.84K","-0.38%"
"01.07.2022","127.48","126.10","129.20","124.94","1.05M","0.05%"
"30.06.2022","127.42","133.00","133.08","124.62","2.51M","-5.24%"
"29.06.2022","134.46","138.30","138.58","134.44","1.41M","-4.52%"
"28.06.2022","140.82","140.50","142.46","139.10","865.48K","1.40%"
"27.06.2022","138.88","140.18","141.96","138.50","913.07K","-0.22%"
"24.06.2022","139.18","140.00","140.40","135.82","1.38M","0.09%"
"23.06.2022","139.06","143.86","144.68","138.82","1.08M","-3.70%"
"22.06.2022","144.40","144.10","145.46","141.32","955.35K","-1.42%"
"21.06.2022","146.48","144.20","147.20","143.60","640.00K","1.86%"
